,Title,Description,Ingredientes,Steps
0,"<h1 class=""article-heading type--lion"">Slow-Cooker Pepper Steak</h1>","[""This crockpot pepper steak recipe is very tender and flavorful and is one of our family's favorites. It's great to make ahead of time in the slow cooker and then serve over rice, egg noodles, or chow mein.""]","['2 pounds beef sirloin, cut into 2 inch strips', '¾ teaspoon garlic powder, or to taste', '3 tablespoons vegetable oil', '1 cube beef bouillon', '¼ cup hot water', '1 tablespoon cornstarch', '½ cup chopped onion', '2 large green bell peppers, roughly chopped', '1 (14.5 ounce) can stewed tomatoes, with liquid', '3 tablespoons soy sauce', '1 teaspoon white sugar', '1 teaspoon salt']","[' Gather all ingredients.\n', 'Dotdash Meredith Food Studios', ' Sprinkle beef sirloin strips with garlic powder. Heat vegetable oil in a large skillet over medium heat and sear beef strips, about 5 minutes per side. Transfer to a slow cooker.\n', 'Dotdash Meredith Food Studios', ' Mix bouillon cube with hot water in a separate container until dissolved, then mix in cornstarch until dissolved.\n', 'Dotdash Meredith Food Studios', ' Pour into the slow cooker with beef strips. Stir in onion, green peppers, stewed tomatoes, soy sauce, sugar, and salt.\n', 'Dotdash Meredith Food Studios', ' Cover, and cook on High for 3 to 4 hours, or on Low for 6 to 8 hours.\n', 'Dotdash Meredith Food Studios']"
1,"<h1 class=""article-heading type--lion"">Slow Cooker Lime Cilantro Chicken</h1>",['This slow cooker cilantro-lime chicken is bursting with flavor. Try it in tacos for a nice change from plain chicken.'],"['1 (16 ounce) jar salsa', '1 (1.25 ounce) package dry taco seasoning mix', '1 medium lime, juiced', '3 tablespoons chopped fresh cilantro', '3 pounds skinless, boneless chicken thighs']","[' Gather all ingredients.\n', 'Dotdash Meredith Food Studios', ' Stir salsa, taco seasoning, lime juice, and cilantro together in a slow cooker until well combined. Add chicken and spoon salsa mixture over top to coat.\n', 'Dotdash Meredith Food Studios', ' Cover and cook until chicken is no longer pink in the center and the juices run clear, on Low for 6 to 8 hours or High for 4 hours. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C).\n', ' Shred chicken in the crock with two forks, then mix with the sauce.\n', 'Dotdash Meredith Food Studios', ' Enjoy!\n', 'Dotdash Meredith Food Studios']"
2,"<h1 class=""article-heading type--lion"">Slow Cooker Pulled Pork</h1>","[""Root beer and pulled pork might not seem like a likely pairing but here it makes all the difference. Topped with your favorite BBQ sauce, it's sure to bring rave reviews.""]","['1 (2 pound) pork tenderloin', '1 (12 fluid ounce) can or bottle root beer', '1 (18 ounce) bottle your favorite barbecue sauce', '8  hamburger buns, split and lightly toasted']","[' Gather the ingredients.\n', 'ALLRECIPES /JULIA HARTBECK', ' Place pork tenderloin in a slow cooker; pour root beer over top.\n', 'ALLRECIPES /JULIA HARTBECK', ' Cover and cook on Low until pork shreds easily, 6 to 7 hours. Note: the actual length of time may vary according to the individual slow cooker.\n', 'ALLRECIPES /JULIA HARTBECK', ' Drain well. Stir in barbecue sauce.\n', 'ALLRECIPES /JULIA HARTBECK', ' Serve on hamburger buns.\n', 'ALLRECIPES /JULIA HARTBECK', ' Serve and enjoy!\n', 'ALLRECIPES / JULIA HARTBECK']"
3,"<h1 class=""article-heading type--lion"">Chicken Enchilada Slow Cooker Soup</h1>","['Make chicken enchilada soup in your crockpot for a tasty, hot meal! We like to top each bowl with crushed corn tortilla chips, shredded cheese, or chopped green onions — and sometimes all three.']","['1 pound skinless, boneless chicken breast halves', '1 (15.25 ounce) can whole kernel corn, drained', '1 (14.5 ounce) can diced tomatoes, undrained', '1 (14.5 ounce) can chicken broth', '1 (10 ounce) can enchilada sauce', '1  white onion, chopped', '1 (4 ounce) can diced green chiles', '¼ cup chopped fresh cilantro', '3 cloves garlic, minced', '2  bay leaves', '1 teaspoon ground cumin', '1 teaspoon chili powder', '1 teaspoon salt', '¼ teaspoon ground black pepper, or to taste']","[' Rinse chicken breasts and pat dry. Place chicken into the bottom of a slow cooker. Add corn, tomatoes, chicken broth, enchilada sauce, onion, green chiles, cilantro, garlic, bay leaves, cumin, chili powder, salt, and pepper. Cover and cook on Low for 6 hours.\n', ' Transfer chicken to a large plate, then shred meat with two forks. Return shredded chicken to the slow cooker, stir to combine, and continue cooking for 30 to 60 more minutes. Discard bay leaves before serving.\n']"
4,"<h1 class=""article-heading type--lion"">Slow Cooker Texas Smoked Beef Brisket</h1>","[""Cook brisket in a crockpot with this wonderful and very easy recipe that's great on those really busy days. The recipe can be increased for a large group or downsized for 2 people. It reminds me of summers in Texas.""]","['3 tablespoons smoked paprika', '2 tablespoons ground black pepper', '2 tablespoons kosher salt', '1 tablespoon brown sugar', '1 tablespoon chili powder', '1 teaspoon ground cumin', '1 ½ pounds beef brisket']","[' Gather all ingredients.\n', 'Dotdash Meredith Food Studios', ' Prepare brisket rub: Mix paprika, pepper, salt, brown sugar, chili powder, and cumin together in a bowl; rub evenly over brisket. Put brisket in a large, resealable plastic bag; refrigerate for 30 minutes to overnight.\n', 'Dotdash Meredith Food Studios', ' When ready to cook, prepare barbeque sauce: Stir barbeque sauce, water, Worcestershire sauce, and liquid smoke together in the bottom of a slow cooker.\n', ' Remove brisket from the refrigerator and take out of the bag. Lay brisket in sauce in the slow cooker and arrange onions over top.\n', 'Dotdash Meredith Food Studios', ' Cook on Low until brisket is very tender, 6 to 7 hours.\n', 'Dotdash Meredith Food Studios', ' Rest brisket 10 minutes before slicing or shredding; serve with sauce from the slow cooker.\n']"
5,"<h1 class=""article-heading type--lion"">Warm Berry Compote</h1>","[""This berry compote is made in a slow cooker with frozen berries and orange juice. It's a yummy dessert by itself or over ice cream.""]","['6 cups frozen mixed berries', '½ cup white sugar', '¼ cup orange juice', '1 ½ teaspoons finely grated orange zest', '2 tablespoons cornstarch', '2 tablespoons water']","[' Stir frozen berries, sugar, orange juice, and orange zest together in a slow cooker. Cover and cook on High until bubbling, about 1 1/2 hours.\n', ' Stir cornstarch and water together in a cup until fully dissolved. Stir into berry mixture. Cover again and cook until thickened, 5 to 10 minutes. Serve warm or at room temperature.\n']"
6,"<h1 class=""article-heading type--lion"">Italian Marinated Grilled Cheese</h1>","['This Italian marinated grilled cheese is made by briefly marinating 3 kinds of cheese with a quick oil and vinegar dressing, and including a few things you typically find in antipasto. It’s a new and amazing twist on the classic grilled cheese sandwich.']","['1 clove garlic, minced', '1 tablespoon white wine vinegar', '1 tablespoon olive oil', 'freshly ground black pepper\xa0to taste', '1 pinch chili flakes', '1/4 teaspoon dried Italian herbs', '2 ounces Monterey Jack cheese, grated', '2 ounces Cheddar cheese, grated', '1 slice provolone, quartered', '1 rounded tablespoon diced roasted red peppers', '1 rounded tablespoon diced pickled pepperoncini peppers', '1 rounded tablespoon diced green olives']","[' Whisk garlic, vinegar, olive oil, black pepper, chili flakes, and herbs together in a bowl; stir in Monterey Jack, Cheddar, and provolone cheeses until combined.\n', ' Stir in red peppers, pepperoncini, and olives. Wrap and let marinade in fridge for 15 minutes, or up to several hours.\n', ' Pile the marinated cheese, beginning with the provolone, evenly onto 1 bread slice; cover with the other slice. Heat olive oil in a nonstick pan over medium heat.\xa0\n', ' Fry sandwich until both sides are crisp and well-browned, and cheese filling has melted, about 3 minutes per side.\n', 'Chef John']"
7,"<h1 class=""article-heading type--lion"">Copper Pennies</h1>","['This copper pennies recipe with carrots, celery, bell pepper, and onion is one my mom used to make in the summer for picnics.']","['1 (10.5 ounce) can condensed tomato soup', '⅔ cup white sugar', '½ cup distilled white vinegar', '⅓ cup vegetable oil', '2 pounds carrots, sliced', '1 medium onion, chopped', '1 medium green bell pepper, chopped', '1 stalk celery, chopped']","[' Bring condensed soup, sugar, vinegar, and oil to a boil in a saucepan. Stir well, remove from the heat, and let cool until needed.\n', ' At the same time, bring a large pot of water to a boil; add carrots and boil until just tender, about 10 minutes.\n', ' Drain carrots and transfer to a mixing bowl. Add onion, bell pepper, and celery. Pour soup mixture over vegetables and stir until coated. Cover and refrigerate, 8 hours to overnight, before serving.\n']"
8,"<h1 class=""article-heading type--lion"">Watermelon Margarita </h1>",['This watermelon margarita tastes amazing and is so refreshing served over crushed ice on hot summer days. This recipe includes a simple syrup which you can make ahead and store in the refrigerator. '],"['½ cup white sugar', '½ cup water', '3 strips orange zest', '2 cups cubed seeded watermelon', '¾ cup white tequila', '¼ cup lime juice', '1 pinch salt or sugar for rimming glasses', '1  lime, cut into wedges', '2 cups crushed ice, or as needed']","[' To make a simple syrup: Bring 1/2 cup sugar, water, and orange zest in a small saucepan to boil, stirring constantly. Simmer until sugar is dissolved, about 3 minutes. Remove simple syrup from heat and allow to cool completely.\n', ' Place watermelon in a blender or food processor. Pulse until pureed.\n', ' Stir watermelon puree into a large pitcher with prepared simple syrup, tequila, and lime juice.\n', ' Place a small amount of salt or sugar into a saucer. Rub edge of margarita glasses with a lime wedge to moisten. Lightly dip the rim of the glass into the saucer to rim the glass; tap off excess salt or sugar.\n', ' Fill rimmed glasses with crushed ice; pour margarita mixture into glasses and garnish with lime wedges to serve.\n']"
9,"<h1 class=""article-heading type--lion"">Pennsylvania Coal Region Barbecue</h1>",['Traditional sweet and sour Pennsylvania barbecue served on hamburger buns is a wonderful staple in the Coal Region of Northeastern PA.'],"['1 pound ground beef', '1 medium onion, chopped', '¾ cup ketchup', '1 ½ tablespoons white vinegar', '1 ½ tablespoons brown sugar', '1 ½ teaspoons prepared yellow mustard', '  salt and pepper to taste', '4  hamburger buns']","[' Cook ground beef and onion in a large skillet over medium-high heat until beef is browned and crumbly and onion is translucent, 5 to 7 minutes. Drain excess grease.\n', ' Reduce the heat to medium. Stir in ketchup, vinegar, brown sugar, mustard, salt, and pepper; simmer for about 15 minutes.\n', ' Spoon beef mixture onto buns to serve.\n']"
